id,noaaID,lat,lon,hasNOAAMeta,model,prediction_window_start,prediction_window_end,issue_time,CPlus,MPlus,C,M,X,prediction_date,MPlus_avg
ac8f50ee-e3bd-47a2-bcce-780c24382ac8,13180,19,-56.0,True,AMOS_v1,2023/1/1 0:00,2023/1/2 0:00,2023/1/1 0:30,0.253199995,0.0317,,,0.0012,20230101,0.0529
c1f71225-ccac-4da9-ba8f-4341882bae7d,13180,19,-43.0,True,MAG4_LOS_FEr,2023/1/2 0:00,2023/1/3 0:00,2023/1/2 0:00,,0.057999998,,0.048999999,0.01,20230102,0.05299
ab60347c-a5f5-48e9-bdfe-e4c1e3e6c2b1,13181,-19,-71.0,True,AMOS_v1,2023/1/2 0:00,2023/1/3 0:00,2023/1/2 0:30,0.068300001,0.0034,,,0.0,20230102,0.0034
64cecb05-8dd7-4da3-8245-0d0acca3ae8e,13181,-19,-58.0,True,AMOS_v1,2023/1/3 0:00,2023/1/4 0:00,2023/1/3 0:30,0.068300001,0.0034,,,0.0,20230103,0.00779
b628c2b5-c011-42ed-a34a-a2f8257a4de5,13181,-19,-44.0,True,AMOS_v1,2023/1/4 0:00,2023/1/5 0:00,2023/1/4 0:30,0.0407,0.0,,,0.0,20230104,0.00366
5c3cd7ca-48af-4477-bcc8-0738a0cd2b48,13181,-19,-30.0,True,AMOS_v1,2023/1/5 0:00,2023/1/6 0:00,2023/1/5 0:30,0.100900002,0.0109,,,0.0009,20230105,0.01563
34fe91e9-f05a-40d2-be11-219e56a729aa,13183,-17,8.0,True,AMOS_v1,2023/1/6 0:00,2023/1/7 0:00,2023/1/6 0:30,0.071800001,0.0053,,,0.0,20230106,0.0071
87abf455-4eaf-4b2e-9d60-168d71703d02,13183,-17,22.0,True,AMOS_v1,2023/1/7 0:00,2023/1/8 0:00,2023/1/7 0:30,0.462399989,0.066600002,,,0.0,20230107,0.0672
aaa23ec5-24a4-460a-a234-90a6a8808a6e,13183,-17,36.0,True,AMOS_v1,2023/1/8 0:00,2023/1/9 0:00,2023/1/8 0:30,0.180700004,0.0199,,,0.0,20230108,0.02929
6f39bc37-cfe5-4b76-9206-5d1bfae977b7,13183,-17,49.0,True,MAG4_LOS_FEr,2023/1/9 0:00,2023/1/10 0:00,2023/1/9 0:00,,0.026000001,,0.022,0.004,20230109,0.0235
eb871f54-52e6-48a3-a5c5-2368f9774313,13184,-13,-81.0,True,AMOS_v1,2023/1/9 0:00,2023/1/10 0:00,2023/1/9 0:30,0.249599993,0.0239,,,0.0,20230109,0.0239
c46cebbc-4f41-4d90-807e-f2dda38a7c31,13184,-13,-26.0,True,MAG4_LOS_FEr,2023/1/13 0:00,2023/1/14 0:00,2023/1/13 0:00,,0.071000002,,0.059999999,0.012,20230113,0.0645
733f42ba-d075-484a-8a60-f2ca3f185ddd,13185,20,0.0,True,AMOS_v1,2023/1/10 0:00,2023/1/11 0:00,2023/1/10 0:30,0.071800001,0.0053,,,0.0,20230110,0.00243
22865d41-a170-4d66-8f7d-32ef0e3e4ba4,13186,25,-65.0,True,MAG4_LOS_FEr,2023/1/11 0:00,2023/1/12 0:00,2023/1/11 0:00,,0.014,,0.012,0.002,20230111,0.0125
02765d83-a4e0-420d-8c5c-513c1c357e52,13186,24,-51.0,True,AMOS_v1,2023/1/12 0:00,2023/1/13 0:00,2023/1/12 0:30,0.464700013,0.083800003,,,0.0062,20230112,0.13493
e37f493f-6e19-4c8b-85b7-9808453bac44,13187,13,-18.0,True,AMOS_v1,2023/1/11 0:00,2023/1/12 0:00,2023/1/11 0:30,0.024499999,0.0032,,,0.0,20230111,0.0032
8a355651-8574-4bab-9b9a-9b6c8761f164,13188,-23,-58.0,True,AMOS_v1,2023/1/13 0:00,2023/1/14 0:00,2023/1/13 0:30,0.089500003,0.0,,,0.0,20230113,0.0
93561469-7ffc-4495-aa72-7cdb56bf5634,13190,-12,-45.0,True,MAG4_LOS_FEr,2023/1/16 0:00,2023/1/17 0:00,2023/1/16 0:00,,0.122000001,,0.103,0.021,20230116,0.113
d49ae663-05bc-4d28-823b-d1900a6ae04a,13191,12,-71.0,True,MAG4_LOS_FEr,2023/1/14 0:00,2023/1/15 0:00,2023/1/14 0:00,,0.041999999,,0.035,0.007,20230114,0.038
2fdf6610-baed-4855-8eb5-4f42b140b276,13191,11,-55.0,True,MAG4_LOS_FEr,2023/1/15 0:00,2023/1/16 0:00,2023/1/15 0:00,,0.273999989,,0.233999997,0.052000001,20230115,0.25149
635ffa96-a5a2-45c8-90b6-793c6b4e9353,13192,19,-75.0,True,AMOS_v1,2023/1/14 0:00,2023/1/15 0:00,2023/1/14 0:30,0.321700007,0.021400001,,,0.0029,20230114,0.0214
49e0f416-7611-4e48-ac48-15020fafe850,13192,19,-61.0,True,AMOS_v1,2023/1/15 0:00,2023/1/16 0:00,2023/1/15 0:30,0.290300012,0.028200001,,,0.0,20230115,0.0282
e34dbbdd-126c-4869-a580-23a13aa97b85,13194,-22,-37.0,True,AMOS_v1,2023/1/16 0:00,2023/1/17 0:00,2023/1/16 0:30,0.071800001,0.0053,,,0.0,20230116,0.0053
5a91dbd5-3cce-421d-b915-2227e3fc8cd1,13194,-23,-23.0,True,AMOS_v1,2023/1/17 0:00,2023/1/18 0:00,2023/1/17 0:30,0.0403,0.0055,,,0.0,20230117,0.00183
f180e99b-d26c-4e82-bd91-40beed6b31e9,13194,-23,-10.0,True,MAG4_LOS_FEr,2023/1/18 0:00,2023/1/19 0:00,2023/1/18 0:00,,0.001,,0.001,0.0,20230118,0.001
eff19542-c106-4804-a1d5-22b2856a1cc4,13195,11,-4.0,True,AMOS_v1,2023/1/18 0:00,2023/1/19 0:00,2023/1/18 0:30,0.089500003,0.0,,,0.0,20230118,0.0
9036f6f3-b47e-4121-a098-02142ec3591a,13196,12,-44.0,True,AMOS_v1,2023/1/19 0:00,2023/1/20 0:00,2023/1/19 0:30,0.089500003,0.0,,,0.0,20230119,0.00966
d235b8a7-0cfc-4159-b513-6b334a28cb40,13196,12,-31.0,True,MAG4_LOS_FEr,2023/1/20 0:00,2023/1/21 0:00,2023/1/20 0:00,,0.001,,0.001,0.0,20230120,0.001
7f81f384-3719-4b32-8151-b0ad34e7ca11,13197,24,-32.0,True,MAG4_LOS_FEr,2023/1/21 0:00,2023/1/22 0:00,2023/1/21 0:00,,0.004,,0.003,0.001,20230121,0.0035
e4f409c1-c6ad-47d9-9130-c035192038de,13198,27,-58.0,True,AMOS_v1,2023/1/20 0:00,2023/1/21 0:00,2023/1/20 0:30,0.136099994,0.0217,,,0.0,20230120,0.0217
09fd47b9-a7a5-4b5f-8c49-e685474cf427,13199,15,-61.0,True,AMOS_v1,2023/1/21 0:00,2023/1/22 0:00,2023/1/21 0:30,0.136099994,0.0217,,,0.0,20230121,0.0217
3a71413f-7c76-4464-a2ba-4bb0ef1d5b95,13199,15,-47.0,True,AMOS_v1,2023/1/22 0:00,2023/1/23 0:00,2023/1/22 0:30,0.464700013,0.083800003,,,0.0062,20230122,0.04526
00da43ba-5d4c-42f9-a8a3-a61ba82c9d32,13200,21,-60.0,True,AMOS_v1,2023/1/23 0:00,2023/1/24 0:00,2023/1/23 0:30,0.136099994,0.0217,,,0.0,20230123,0.01256
31c2815d-9afe-4e37-92d4-642854385bf3,13200,21,-47.0,True,AMOS_v1,2023/1/24 0:00,2023/1/25 0:00,2023/1/24 0:30,0.136099994,0.0217,,,0.0,20230124,0.01256
73105e12-a931-4cf8-8daa-bbb9bb721459,13201,25,-58.0,True,AMOS_v1,2023/1/25 0:00,2023/1/26 0:00,2023/1/25 0:30,0.0407,0.0,,,0.0,20230125,0.00233
a5e3726b-ec75-4139-be98-c1aa17695b49,13201,24,-44.0,True,MAG4_LOS_FEr,2023/1/26 0:00,2023/1/27 0:00,2023/1/26 0:00,,0.006,,0.005,0.001,20230126,0.0055
ceed8497-c2e6-4179-8293-c9d90c5113d9,13201,24,-30.0,True,MAG4_LOS_FEr,2023/1/27 0:00,2023/1/28 0:00,2023/1/27 0:00,,0.002,,0.002,0.0,20230127,0.002
7c6f8472-bd43-4bd0-bf3a-8f9e5aeb3097,13201,25,-17.0,True,MAG4_LOS_FEr,2023/1/28 0:00,2023/1/29 0:00,2023/1/28 0:00,,0.002,,0.002,0.0,20230128,0.002
5e0f5352-9d9e-4845-b7a8-add0817f383a,13203,16,-32.0,True,AMOS_v1,2023/1/26 0:00,2023/1/27 0:00,2023/1/26 0:30,0.0403,0.0055,,,0.0,20230126,0.0055
cf0028d1-92ed-4a69-8eba-fd78b2071a15,13203,16,-16.0,True,AMOS_v1,2023/1/27 0:00,2023/1/28 0:00,2023/1/27 0:30,0.071800001,0.0053,,,0.0,20230127,0.0053
7089143e-991e-4b29-baad-897e3480203a,13203,16,-3.0,True,AMOS_v1,2023/1/28 0:00,2023/1/29 0:00,2023/1/28 0:30,0.0403,0.0055,,,0.0,20230128,0.0055
e8656e7c-cfa6-4ed2-906b-ebe37c271bad,13204,24,33.0,True,MAG4_LOS_FEr,2023/1/29 0:00,2023/1/30 0:00,2023/1/29 0:00,,0.004,,0.003,0.001,20230129,0.0035
c60c9de1-dec0-463a-86cb-cb43ff90fe43,13205,-24,36.0,True,AMOS_v1,2023/1/29 0:00,2023/1/30 0:00,2023/1/29 0:30,0.0403,0.0055,,,0.0,20230129,0.0055
f661773c-6221-437f-9ff6-efc7fa0fba4a,13206,-22,-59.0,True,AMOS_v1,2023/1/30 0:00,2023/1/31 0:00,2023/1/30 0:30,0.0403,0.0055,,,0.0,20230130,0.0075
95608ff7-e8d5-4b45-82f1-109e58118172,13206,-22,-47.0,True,MAG4_LOS_FEr,2023/1/31 0:00,2023/2/1 0:00,2023/1/31 0:00,,0.004,,0.003,0.001,20230131,0.0035
a1fa8c7d-5f1c-44a1-aad8-a589f6dcea87,13207,-13,-71.0,True,AMOS_v1,2023/1/31 0:00,2023/2/1 0:00,2023/1/31 0:30,0.540600002,0.1052,,,0.0,20230131,0.1052
6005c3f8-da4e-4098-a8ca-a04fe569fa4b,13207,-11,-65.0,True,AMOS_v1,2023/2/1 0:00,2023/2/2 0:00,2023/2/1 0:30,0.286300004,0.041900001,,,0.0,20230201,0.02663
79e39cc2-dd04-49d4-9192-666c9185f21d,13207,-11,-49.0,True,MAG4_LOS_FEr,2023/2/2 0:00,2023/2/3 0:00,2023/2/2 0:00,,0.018999999,,0.016000001,0.003,20230202,0.01699
341b2725-ab92-4ef6-b378-621cc8b598a3,13207,-12,-36.0,True,MAG4_LOS_FEr,2023/2/3 0:00,2023/2/4 0:00,2023/2/3 0:00,,0.017000001,,0.014,0.003,20230203,0.0155
a80768c6-083e-4919-a1a1-3795dfc08852,13208,16,-51.0,True,AMOS_v1,2023/2/2 0:00,2023/2/3 0:00,2023/2/2 0:30,0.071800001,0.0053,,,0.0,20230202,0.0053
4eb18379-57c2-4aa6-a9e9-682a97ee4735,13208,16,-39.0,True,AMOS_v1,2023/2/3 0:00,2023/2/4 0:00,2023/2/3 0:30,0.071800001,0.0053,,,0.0,20230203,0.0053
483f3a01-2ef5-4731-a587-797f68956316,13210,-15,5.0,True,AMOS_v1,2023/2/4 0:00,2023/2/5 0:00,2023/2/4 0:30,0.136099994,0.0217,,,0.0,20230204,0.00723
0e8d659d-520d-4c7d-adcc-11893c56185b,13211,-16,29.0,True,AMOS_v1,2023/2/5 0:00,2023/2/6 0:00,2023/2/5 0:30,0.136099994,0.0217,,,0.0,20230205,0.0217
412d4d50-e019-4bc4-b8fb-5fa6a19fba58,13212,-17,56.0,True,AMOS_v1,2023/2/6 0:00,2023/2/7 0:00,2023/2/6 0:30,0.0403,0.0055,,,0.0,20230206,0.00283
b4d72fec-8c0a-41ff-8d11-d29a4b7fb58e,13215,21,-57.0,True,MAG4_LOS_FEr,2023/2/7 0:00,2023/2/8 0:00,2023/2/7 0:00,,0.006,,0.005,0.001,20230207,0.0055
22415bb5-5394-4a92-b8c8-e4bde0b598a0,13216,24,-67.0,True,AMOS_v1,2023/2/7 0:00,2023/2/8 0:00,2023/2/7 0:30,0.0407,0.0,,,0.0,20230207,0.0
44e1d549-81b0-423c-a8d1-0fbb5c679725,13216,27,-53.0,True,AMOS_v1,2023/2/8 0:00,2023/2/9 0:00,2023/2/8 0:30,0.100000001,0.016000001,,,0.0009,20230208,0.009
1e328c6a-e1c6-478d-a252-524731204872,13216,27,-45.0,True,MAG4_LOS_FEr,2023/2/9 0:00,2023/2/10 0:00,2023/2/9 0:00,,0.016000001,,0.014,0.002,20230209,0.0145
6d036bad-978b-4b08-8ff0-f1a988a69ba6,13216,24,-6.0,True,MAG4_LOS_FEr,2023/2/12 0:00,2023/2/13 0:00,2023/2/12 0:00,,0.012,,0.01,0.002,20230212,0.0105
789956db-5094-4aa2-9a77-073b7b8a0b83,13218,15,-62.0,True,AMOS_v1,2023/2/9 0:00,2023/2/10 0:00,2023/2/9 0:30,0.0403,0.0055,,,0.0,20230209,0.0055
fe47e2f4-975f-45ea-9c55-7ebd880418ed,13218,12,-49.0,True,MAG4_LOS_FEr,2023/2/10 0:00,2023/2/11 0:00,2023/2/10 0:00,,0.0,,0.0,0.0,20230210,0.0
b81cfc57-586e-4884-b75a-534fa12b77df,13221,14,-75.0,True,AMOS_v1,2023/2/10 0:00,2023/2/11 0:00,2023/2/10 0:30,0.068300001,0.0034,,,0.0,20230210,0.0034
c565d84a-6b2b-41f5-8a4a-b33e791bce84,13221,16,-62.0,True,MAG4_LOS_FEr,2023/2/11 0:00,2023/2/12 0:00,2023/2/11 0:00,,0.017999999,,0.015,0.003,20230211,0.01649
f3231e88-6b39-4a37-adef-6b9a9ca4d106,13222,35,64.0,True,AMOS_v1,2023/2/11 0:00,2023/2/12 0:00,2023/2/11 0:30,0.071800001,0.0053,,,0.0,20230211,0.0053
f0fefd33-99e2-456b-aa5e-654956c04959,13224,23,-50.0,True,AMOS_v1,2023/2/12 0:00,2023/2/13 0:00,2023/2/12 0:30,0.071800001,0.0053,,,0.0,20230212,0.0053
3320ac45-bd07-4847-825d-f065452aba84,13225,-22,-6.0,True,AMOS_v1,2023/2/13 0:00,2023/2/14 0:00,2023/2/13 0:30,0.071800001,0.0053,,,0.0,20230213,0.00176
eef528a2-0281-4bff-a686-30590bd6f451,13225,-20,34.0,True,MAG4_LOS_FEr,2023/2/16 0:00,2023/2/17 0:00,2023/2/16 0:00,,0.0,,0.0,0.0,20230216,0.0
327f5be8-8276-41fa-ba95-76d15e093eb1,13226,10,6.0,True,MAG4_LOS_FEr,2023/2/17 0:00,2023/2/18 0:00,2023/2/17 0:00,,0.064999998,,0.054000001,0.011,20230217,0.05899
b3bc601a-3ef0-4e4f-b774-ead154c8f25f,13227,-3,-14.0,True,AMOS_v1,2023/2/16 0:00,2023/2/17 0:00,2023/2/16 0:30,0.024499999,0.0032,,,0.0,20230216,0.0032
c830faa4-ed7e-4048-8d45-a8173facf05b,13228,-25,-14.0,True,AMOS_v1,2023/2/14 0:00,2023/2/15 0:00,2023/2/14 0:30,0.0403,0.0055,,,0.0,20230214,0.00183
439caa90-9f03-4d65-b5b7-ea7f78942536,13228,-24,0.0,True,AMOS_v1,2023/2/15 0:00,2023/2/16 0:00,2023/2/15 0:30,0.024499999,0.0032,,,0.0,20230215,0.00106
094beaa9-b926-44be-a9d8-707578709b12,13229,30,-70.0,True,AMOS_v1,2023/2/17 0:00,2023/2/18 0:00,2023/2/17 0:30,0.410100013,0.059999999,,,0.0013,20230217,0.05999
8de0e33a-5d50-4e14-88a6-f25b8f006eb1,13229,25,-58.0,True,AMOS_v1,2023/2/18 0:00,2023/2/19 0:00,2023/2/18 0:30,0.585900009,0.241400003,,,0.026000001,20230218,0.09313
